Page,Section,Purpose,H1,H2/H3,Copy_Snippet,CTA,Asset_Refs,SEO_Target,Internal_Links
Author Page,Long Bio: The Why,Writing motivation,N/A,"Why I Wrote Curls & Contemplation","I wrote this for the stylist sitting in a breakroom wondering if their dreams are too big. For the talented creator who feels their wings being clipped by hourly rates and someone else's business model. For anyone who suspects there might be more available to them than what they've been shown.",Pre-Order the Book,author-writing-book-photo.jpg,N/A,/book
Author Page,Mission Statement,Purpose clarity,N/A,"My Mission","To validate unconventional career paths in the beauty industry. To demonstrate that hairstyling can be both art and activism, craft and calling, business and blessing. To provide the roadmap I wish I'd had when I started.",N/A,N/A,N/A,N/A
Author Page,Credentials Timeline,Visual authority,N/A,"Training & Experience","2014: Arrojo Cosmetology School, NYC | 2015-2016: Mentorship under Yusef Williams, Vernon François | 2017: Fashion Week debut | 2018: International practice launch | 2019-2024: 15+ countries, humanitarian work, continuous education",N/A,credentials-timeline-visual.svg,hairstylist training credentials,N/A
Author Page,Mentorship Lineage,Authority through association,"Learning From the Best",N/A,"Michael's education extends far beyond formal school. His mentors represent some of the most respected voices in conscious, culturally competent hairstyling.",N/A,mentor-photos-grid/,N/A,N/A
Author Page,Mentor 1: Yusef Williams,Mentor profile,N/A,"Yusef Williams / Naphia White","Taught me that technique without heart is just mechanical motion. Under their guidance, I learned to see each client as a full human, not just a canvas for my technical skills.",N/A,mentor-yusef-photo.jpg,N/A,N/A
Author Page,Mentor 2: Vernon François,Mentor profile,N/A,"Vernon François","Who helped me see that every curl has a voice if only we'd listen carefully enough. His work championing natural texture diversity fundamentally shaped my approach to textured hair.",N/A,mentor-vernon-photo.jpg,N/A,N/A
Author Page,Mentor 3: Naeemah Lafond,Mentor profile,N/A,"Naeemah Lafond","Whose fierce advocacy showed me our work transcends beauty to become cultural affirmation. She taught me that hairstyling can be an act of resistance and reclamation.",N/A,mentor-naeemah-photo.jpg,N/A,N/A
Author Page,Global Experience Map,Visual storytelling,"Where He's Practiced",N/A,"15+ countries across 3 continents—each stamp in his passport represents a different cultural approach to beauty, a new technique mastered, a community served, a perspective expanded.",N/A,world-map-interactive-pins.svg,location-independent hairstylist,N/A
Author Page,Humanitarian Work,Values demonstration,N/A,"Hair as Dignity","Michael regularly collaborates with humanitarian organizations bringing hair services to displaced communities and refugees. 'When someone's world has been upended, helping them feel like themselves again—even for a moment—is sacred work.'",N/A,humanitarian-work-collage.jpg,N/A,N/A
Author Page,Teaching & Speaking,Thought leadership,N/A,"Educator & Thought Leader","Regular speaker at industry conferences on topics including freelance business models, cultural competency, and sustainable career practices. Developing educational content for next generation of conscious stylists.",N/A,speaking-event-photo.jpg,hairstylist educator,N/A
Author Page,Press Kit Section,Media support,"For Media Inquiries",N/A,"High-resolution photos, comprehensive bio (multiple lengths), interview questions, book excerpts, and press release available for download. Contact press@curlsandcontemplation.com for additional materials.",Download Press Kit,press-kit-preview-icon.png,N/A,N/A
Author Page,Press Kit Contents,Download details,N/A,N/A,"Included: 6 high-res author photos • Short/medium/long bio versions • Book cover images (multiple sizes) • Sample interview questions • Author Q&A • Media fact sheet • Press release",Download Press Kit,N/A,N/A,N/A
Author Page,Connect Section,Drive external engagement,"Connect With Michael",N/A,"Follow the journey beyond the book. Behind-the-scenes insights, client transformations, business tips, community highlights, and ongoing conversations about the future of hairstyling.",Follow Now,social-connect-graphic.png,unconventional stylist,N/A
Author Page,Connect: Instagram,Primary social,N/A,"Instagram: @UnconventionalS","Daily inspiration, client transformations, business tips, behind-the-scenes content, and community spotlights. Most active platform for direct engagement.",Follow on Instagram,instagram-feed-preview.jpg,N/A,N/A
Author Page,Connect: Website,Extended content,N/A,"Unconventional Stylist Website","Comprehensive blog, extended articles, online courses (coming soon), resource library, and event calendar. The home for deeper dives into conscious hairstyling.",Visit Website,website-screenshot.png,N/A,N/A
Author Page,Connect: Email,Newsletter,N/A,"Email Newsletter","Weekly insights on building freelance practice, industry trends, personal reflections, and exclusive subscriber-only resources. The most intimate connection point.",Subscribe Now,email-icon-graphic.svg,N/A,N/A
Author Page,Closing Quote,Memorable impression,N/A,N/A,"The most beautiful rebellion is becoming exactly who you were meant to be, regardless of who the world thinks you should become. — Michael David Warren Jr.",Pre-Order the Book,quote-visual-styled.png,N/A,/book
Author Page,Final CTA,Conversion opportunity,N/A,"Ready to Begin Your Journey?","Let Michael's story inspire yours. Curls & Contemplation provides the roadmap, the tools, and the permission slip to design your career on your own terms.",Pre-Order Now,book-author-photo-combo.jpg,N/A,/book
Community Page,Hero Section,Movement invitation,"Join the Curls & Contemplation Collective",N/A,"You're not alone in this journey. Connect with thousands of hairstylists who get it—the challenges, the dreams, the refusal to settle. This is your tribe.",Join the Community,community-hero-diverse-collage.jpg,hairstylist community,N/A
Community Page,Hero Subheadline,Community value,N/A,N/A,"More than a Facebook group. This is a curated community of conscious stylists building careers on their own terms. Real support. Real connections. Real transformation.",Join Discord Now,N/A,freelance stylist network,N/A
Community Page,Introduction Paragraph,Set context,"Why Community Matters",N/A,"Hairstyling can feel isolating—standing behind the chair for hours, absorbing clients' stories, carrying the weight of their transformations. Who holds space for you? The Curl Collective does.",N/A,N/A,hairstylist support community,N/A
Community Page,Your Story Matters,Personal invitation,N/A,"Every Journey Is Unique","Whether you're a student dreaming of freelance freedom, a burned-out stylist seeking renewal, a salon owner reimagining your model, or an entrepreneur launching your practice—your story matters here.",Share Your Story,N/A,N/A,N/A
Community Page,What Awaits Section,Benefits overview,"What Awaits You in the Collective",N/A,"This isn't just another Facebook group. It's a curated ecosystem of support, learning, collaboration, and celebration designed specifically for conscious, growth-minded hairstylists.",Join Discord Now,benefits-visual-diagram.svg,curl collective community,N/A
Community Page,Benefit 1: Network,Detailed benefit,"1. A Supportive Network That Gets It",N/A,"Connect with stylists who understand the unique challenges and opportunities of this industry. Celebrate wins together. Navigate struggles with people who've been there. Build friendships that last beyond transactions.",N/A,benefit-icon-network.svg,N/A,N/A
Community Page,Network: What You'll Find,Specific value,N/A,N/A,"Dedicated Discord channels for business questions, technical advice, creative inspiration, wellness support, and general community. Active daily discussions with hundreds of engaged members.",N/A,discord-screenshot-preview.png,N/A,N/A
Community Page,Benefit 2: Resources,Detailed benefit,"2. Exclusive Learning Resources",N/A,"Members-only workshops, Q&A sessions with Michael, guest expert masterclasses, resource library of templates and guides, early access to new content, and special discounts on courses.",N/A,benefit-icon-resources.svg,N/A,N/A
Community Page,Resources: Monthly Events,Specific value,N/A,N/A,"Monthly live Q&A with Michael (recorded for timezone flexibility) • Quarterly guest expert workshops • Weekly discussion threads on book chapters • Member spotlight features • Skill-share sessions",N/A,N/A,N/A,N/A
Community Page,Benefit 3: Mentorship,Detailed benefit,"3. Mentorship Matching Opportunities",N/A,"Whether you're seeking guidance or ready to mentor, we facilitate meaningful mentorship connections. Structured programs pairing experienced stylists with those earlier in their journey.",N/A,benefit-icon-mentorship.svg,N/A,N/A
Community Page,Mentorship: How It Works,Specific value,N/A,N/A,"Complete mentorship profile indicating experience level, goals, and expertise areas. Algorithm-assisted matching with compatible mentors/mentees. Structured 3-month programs with check-in frameworks. Optional extension.",N/A,N/A,N/A,N/A
Community Page,Benefit 4: Collaboration,Detailed benefit,"4. Creative Collaboration Connections",N/A,"Find your dream team—photographers, makeup artists, fashion designers, other stylists for large projects. Member directory with specialties, location, and collaboration interests.",N/A,benefit-icon-collaboration.svg,N/A,N/A
Community Page,Collaboration: Directory,Specific value,N/A,N/A,"Searchable member directory by location, specialty, experience level, and collaboration interests. Direct messaging capability. Project posting board for casting calls and partnership opportunities.",N/A,N/A,N/A,N/A
Community Page,Benefit 5: Discussions,Detailed benefit,"5. Engaging Discussions on What Matters",N/A,"From textured hair techniques to navigating AI in the industry, from pricing strategies to self-care practices—discuss the topics that matter to your career and personal growth.",N/A,benefit-icon-discussion.svg,N/A,N/A
Community Page,Discussions: Channel List,Specific value,N/A,N/A,"Discord channels: #business-strategies #technical-tips #creative-inspiration #wellness-check-in #pricing-advice #client-stories #product-recommendations #events-opportunities #celebrations #challenges",N/A,N/A,N/A,N/A
Community Page,How It Works Section,Participation guide,"How It Works: Three Simple Steps",N/A,"Joining and engaging with the Curl Collective is easy. Here's your path from newcomer to integrated community member.",N/A,process-diagram-steps.svg,N/A,N/A
Community Page,Step 1: Join,Process step,N/A,"Step 1: Join Your Preferred Platform","Choose your primary connection point: Discord (most active), Instagram community features, Facebook group, or all three. Each platform serves different interaction styles.",Join Now,step-icon-join.svg,N/A,N/A
Community Page,Step 2: Introduce,Process step,N/A,"Step 2: Introduce Yourself","Share your story in the #introductions channel. Where are you in your career? What brought you to Curls & Contemplation? What are you hoping to gain from community? We celebrate every new member.",N/A,step-icon-introduce.svg,N/A,N/A
Community Page,Step 3: Engage,Process step,N/A,"Step 3: Engage at Your Comfort Level","There's no pressure to participate constantly. Some members are daily contributors, others weekly readers, some pop in monthly. Find your rhythm. All engagement levels valued.",N/A,step-icon-engage.svg,N/A,N/A
Community Page,Testimonials Section,Social proof,"What Members Are Saying",N/A,"Hear from stylists already thriving in the Collective. Real stories from real members about how community has impacted their careers and personal growth.",N/A,testimonial-community-grid/,N/A,N/A
Community Page,Community Testimonial 1,Member quote,N/A,"Priya M. - Mumbai, India","I was nervous about posting my first question, but the response was overwhelming. Within an hour, I had five thoughtful answers and three DMs offering additional help. This community is pure gold.",N/A,community-member-priya.jpg,N/A,N/A
Community Page,Community Testimonial 2,Member quote,N/A,"Jamal T. - Brooklyn, NY","The monthly Q&A with Michael alone is worth joining. He's so generous with his insights and actually remembers your previous questions. Plus the networking has led to two major collaborations.",N/A,community-member-jamal.jpg,N/A,N/A
Community Page,Community Testimonial 3,Member quote,N/A,"Sofia R. - Madrid, Spain","I found my regular makeup artist collaborator in the member directory. We've worked on three editorial shoots together and are planning a joint workshop. The business value is incredible.",N/A,community-member-sofia.jpg,N/A,N/A
Community Page,Community Testimonial 4,Member quote,N/A,"Chen W. - Singapore","As an introvert, I appreciate that I can learn just by reading the discussions. When I finally posted my first question months after joining, I was welcomed like I'd been active all along.",N/A,community-member-chen.jpg,N/A,N/A
Community Page,Community Testimonial 5,Member quote,N/A,"Taylor K. - Austin, TX","The mentorship matching program connected me with a seasoned freelancer who's been invaluable during my salon-to-independent transition. I literally couldn't have done this without her guidance.",N/A,community-member-taylor.jpg,N/A,N/A
Community Page,Join Section,Multiple entry points,"Ready to Join?",N/A,"Connect with us across multiple platforms. Each serves a different purpose, and many members are active across all three for maximum benefit.",Join Now,platform-options-visual.svg,N/A,N/A
Community Page,Platform: Discord,Primary hub,N/A,"Discord Community (Primary Hub)","Real-time chat, dedicated channels for business/technical/creative/wellness topics, member directory, event notifications, Michael's most active platform. Desktop and mobile apps available.",Join Discord,discord-logo-branded.svg,N/A,N/A
Community Page,Platform: Website,Extended content,N/A,"Unconventional Stylist Website","Michael's hub for in-depth articles, online courses (coming soon), comprehensive resource library, event calendar, blog community, and email newsletter signup.",Visit Website,website-logo-icon.svg,unconventional stylist website,N/A
Community Page,Platform: Instagram,Visual connection,N/A,"Instagram Community (@UnconventionalS)","Behind-the-scenes content, client transformations, quick tips, community member spotlights, story polls and Q&As, IGTV tutorials, and visual inspiration.",Follow on Instagram,instagram-logo-branded.svg,N/A,N/A
Community Page,Platform: Facebook,Secondary group,N/A,"Facebook Group","Alternative platform for those who prefer Facebook's interface. Mirrors many Discord discussions with added benefit of Facebook's event features for virtual meetups.",Join Facebook Group,facebook-logo-branded.svg,N/A,N/A
Community Page,Membership Tiers Preview,Upgrade option,N/A,"Want Even More? Explore Membership Tiers","While the core community is free, premium tiers offer enhanced benefits: extended access to Michael, exclusive masterclasses, priority mentorship matching, and more.",Explore Membership Tiers,membership-tiers-preview.png,N/A,/community/join
Community Page,Closing Message,Final invitation,"Your Collective Awaits",N/A,"The beauty of this community is that it grows stronger with every new voice, every shared story, every moment of connection. Will yours be the next story that inspires someone else to take their leap?",Join the Movement,community-celebration-photo.jpg,N/A,N/A
Community Page,Final CTA,Action emphasis,N/A,N/A,"Free to join • Instant access • Thousands of active members • Safe, supportive space • Your career transformation starts with connection",Join Discord Now,N/A,N/A,N/A
Blog Hub,Hero Section,Content purpose,"The Curls & Contemplation Blog",N/A,"Practical wisdom for building a hairstyling career on your own terms. Business strategies, technical tips, wellness guidance, and industry insights for conscious stylists.",Subscribe to Updates,blog-hero-visual.jpg,hairstylist business tips,N/A
Blog Hub,Introduction,Blog value proposition,"Your Resource for Conscious Hairstyling Success",N/A,"This blog extends the principles from Curls & Contemplation with actionable advice, downloadable resources, and real-world case studies. New content weekly.",N/A,N/A,freelance stylist advice,/book
Blog Hub,Topics Covered,Content categories,"What You'll Find Here",N/A,"Business & Finance • Marketing & Branding • Technical Skills • Wellness & Self-Care • Industry Trends • Career Development • Client Relationships • Creative Inspiration",Explore All Posts,category-icons-grid/,hairstyling career development,N/A
Blog Hub,How to Use Section,Reader guidance,"How to Use This Blog",N/A,"Start with topics most relevant to your current stage. Download the free templates and worksheets. Join the comments to connect with other readers. Subscribe for weekly delivery to your inbox.",N/A,N/A,N/A,N/A
Blog Hub,Featured Post 1,Post preview,"How to Price Your Hair Services (Without Undervaluing Your Work)",N/A,"Stop guessing your worth. Learn the exact framework for values-aligned pricing that honors your expertise while attracting your ideal clients. Includes free pricing calculator.",Read Full Post,featured-pricing-thumbnail.jpg,how to price hair services,/blog/how-to-price-hair-services
Blog Hub,Featured Post 2,Post preview,"The Freelance Hairstylist's Guide to Sustainable Income",N/A,"Irregular income doesn't mean unstable income. Discover how to create predictable cash flow through revenue diversification, smart budgeting, and client relationship management.",Read Full Post,featured-income-thumbnail.jpg,freelance hairstylist income,/blog/freelance-hairstylist-income
Blog Hub,Featured Post 3,Post preview,"5 Self-Care Rituals Every Stylist Needs (To Avoid Burnout)",N/A,"Physical exhaustion meets emotional labor—here's how to protect your energy and sustain your passion. Free self-care plan template included.",Read Full Post,featured-selfcare-thumbnail.jpg,hairstylist burnout prevention,/blog/stylist-self-care-rituals
Blog Hub,Post Grid Item 4,Post preview,"Building Your Signature Hairstyling Style",N/A,"Differentiate yourself in a crowded market by developing your unique artistic voice. Inspiration database template and cross-disciplinary exploration strategies.",Read Post,thumbnail-signature-style.jpg,hairstylist signature style,/blog/building-signature-style
Blog Hub,Post Grid Item 5,Post preview,"Instagram Marketing for Hairstylists Who Hate Social Media",N/A,"Tech-hesitant? Start here. Skill-level appropriate strategies for building your online presence without overwhelm. Free content calendar template.",Read Post,thumbnail-instagram.jpg,instagram marketing hairstylists,/blog/instagram-marketing-for-stylists
Blog Hub,Post Grid Item 6,Post preview,"The Eco-Conscious Stylist's Product Guide",N/A,"Sustainability isn't just good ethics—it's good business. How to select eco-friendly products, reduce salon waste, and attract values-aligned clients.",Read Post,thumbnail-eco-products.jpg,eco-friendly hair products,/blog/eco-conscious-stylist-products
Blog Hub,Post Grid Item 7,Post preview,"Handling Difficult Client Conversations with Grace",N/A,"Set boundaries without guilt. Communication scripts for managing expectations, addressing complaints, and protecting your professional peace.",Read Post,thumbnail-client-communication.jpg,handling difficult salon clients,/blog/handling-difficult-clients
Blog Hub,Post Grid Item 8,Post preview,"Creating Multiple Revenue Streams as a Hairstylist",N/A,"Don't rely solely on behind-the-chair income. Digital products, workshops, retail, affiliate partnerships, and more. Revenue planning worksheet included.",Read Post,thumbnail-revenue-streams.jpg,hairstylist revenue streams,/blog/multiple-revenue-streams
Blog Hub,Post Grid Item 9,Post preview,"From Salon Employee to Business Owner: Your Roadmap",N/A,"Considering going independent? This comprehensive guide covers business setup, financial planning, client transition strategies, and launch timeline. Free checklist.",Read Post,thumbnail-career-transition.jpg,salon employee to business owner,/blog/salon-employee-to-business-owner
Blog Hub,Post Grid Item 10,Post preview,"AI and the Future of Hairstyling: Partner, Not Replacement",N/A,"Demystify AI technologies in the beauty industry. Virtual try-ons, personalized formulations, and why human artistry remains irreplaceable.",Read Post,thumbnail-ai-future.jpg,ai in beauty industry,/blog/ai-and-future-of-hairstyling
Blog Hub,Newsletter CTA Section,Lead capture,"Never Miss a Post",N/A,"Get new articles delivered to your inbox weekly, plus exclusive subscriber-only resources, behind-the-scenes insights, and first access to new templates.",Subscribe Now,newsletter-signup-visual.png,N/A,N/A
Blog Hub,Newsletter Benefits,Value proposition,N/A,N/A,"Weekly article roundup • Exclusive templates not available publicly • Subscriber-only Q&A sessions • Early notification of events and launches • Community highlights",Subscribe Now,N/A,N/A,N/A
Blog Hub,Book CTA Section,Conversion opportunity,"Want the Complete Framework?",N/A,"These blog posts scratch the surface. Curls & Contemplation provides the comprehensive, interactive journey with 16 chapters, 12 worksheets, and lifetime transformation tools.",Explore the Book,book-blog-cta.png,N/A,/book
Quiz Page,Hero Section,Engagement hook,"What's Your Stylist Success Type?",N/A,"Take this 2-minute quiz to discover your entrepreneurial style and get a personalized roadmap for building your ideal hairstyling career. No email required to see results.",Start the Quiz,quiz-hero-illustration-colorful.svg,hairstylist success quiz,N/A
Quiz Page,Introduction,Quiz value proposition,"Discover Your Unique Path to Success",N/A,"Every successful hairstylist has a different approach. Are you a Creative Visionary? Strategic Builder? Wellness Advocate? Community Connector? Tech Innovator? Your success type reveals your natural strengths and ideal business model.",N/A,N/A,freelance stylist personality,N/A
Quiz Page,How It Works,Process explanation,N/A,N/A,"Answer 10 multiple-choice questions about your work style, motivations, and goals. Receive instant results with detailed success type profile, personalized strengths, potential challenges, and custom book chapter recommendations.",N/A,N/A,N/A,N/A
Quiz Page,Quiz Interface,Interactive element,N/A,N/A,"10 questions with visual answer cards. Progress bar showing completion. Ability to go back and change answers. Mobile-responsive design. Takes approximately 2-3 minutes.",Take the Quiz,quiz-interface-mockup.png,N/A,N/A
Quiz Page,Sample Question 1,Question example,N/A,"Question 1: What initially drew you to hairstyling?","A) The artistic expression and creative possibilities | B) The business and entrepreneurial opportunity | C) The personal connections and helping people feel confident | D) The flexibility and lifestyle it could provide | E) The technical mastery and skill development",N/A,N/A,N/A,N/A
Quiz Page,Sample Question 5,Question example,N/A,"Question 5: When facing a career challenge, you typically:","A) Get creative and think outside the box | B) Analyze the problem and create a strategic plan | C) Check in with yourself about whether it aligns with your values | D) Reach out to your network for support and collaboration | E) Research the latest tools and technologies that might help",N/A,N/A,N/A,N/A
Quiz Page,Sample Question 10,Question example,N/A,"Question 10: Your ideal work environment is:","A) Inspiring and visually stimulating | B) Organized and efficient | C) Calm and intentional | D) Social and collaborative | E) Modern and tech-forward",N/A,N/A,N/A,N/A
Quiz Page,Results: Type 1,Success type profile,"Result: The Creative Visionary",N/A,"You thrive when building signature styles and pushing artistic boundaries. Your strength is innovation; your challenge is business structure. Recommended chapters: III (Creative Fire), IX (Leadership), X (Legacy).",Download Your Roadmap,result-creative-visionary-badge.png,N/A,/book
Quiz Page,Results: Type 2,Success type profile,"Result: The Strategic Builder",N/A,"You excel at systems, planning, and sustainable business growth. Your strength is structure; your challenge is avoiding rigidity. Recommended chapters: VI (Business Mastery), XII (Financial Wisdom), XI (Digital Strategies).",Download Your Roadmap,result-strategic-builder-badge.png,N/A,/book
Quiz Page,Results: Type 3,Success type profile,"Result: The Wellness Advocate",N/A,"You prioritize balance, purpose, and holistic success. Your strength is sustainability; your challenge is setting boundaries without guilt. Recommended chapters: VII (Wellness), XV (Resilience), XIII (Ethics/Sustainability).",Download Your Roadmap,result-wellness-advocate-badge.png,N/A,/book
Quiz Page,Results: Type 4,Success type profile,"Result: The Community Connector",N/A,"You build success through relationships and collaboration. Your strength is networking; your challenge is maintaining focus. Recommended chapters: IV (Networking), V (Mentorship), IX (Leadership).",Download Your Roadmap,result-community-connector-badge.png,N/A,/book
Quiz Page,Results: Type 5,Success type profile,"Result: The Tech Innovator",N/A,"You embrace emerging tools and future-focused strategies. Your strength is adaptability; your challenge is balancing tech with human touch. Recommended chapters: XI (Digital Strategies), XIV (AI Impact), VIII (Continuous Education).",Download Your Roadmap,result-tech-innovator-badge.png,N/A,/book
Quiz Page,Results: Strengths Section,Personalized insight,N/A,"Your Natural Strengths","Based on your success type, here are the superpowers you bring to your hairstyling career. Lean into these while building skills in complementary areas.",N/A,N/A,N/A,N/A
Quiz Page,Results: Challenges Section,Growth areas,N/A,"Potential Growth Areas","Every success type has blind spots. Here are the areas where you might need extra support, systems, or accountability. The book addresses all of these.",N/A,N/A,N/A,N/A
Quiz Page,Results: Recommended Chapters,Personalized guidance,N/A,"Start Here: Your Personalized Reading Roadmap","While we recommend reading the full book sequentially, these chapters will resonate most strongly with your success type and address your specific challenges.",N/A,N/A,N/A,/book
Quiz Page,Results: CTA Section,Conversion opportunity,"Ready to Go Deeper?",N/A,"This quiz scratches the surface. Curls & Contemplation provides the complete framework for building your career on your own terms—regardless of your success type.",Pre-Order the Book,book-cover-quiz-cta.png,N/A,/book
Quiz Page,Social Share Section,Viral opportunity,"Share Your Results",N/A,"What's your Stylist Success Type? Share your results with fellow stylists and see what types your friends are. Tag us @UnconventionalS for a chance to be featured!",Share on Social,social-share-buttons-quiz/,N/A,N/A
Pre-Order Page,Headline,Urgency and value,"You're One Step Away from Transforming Your Career",N/A,"Secure your copy of Curls & Contemplation plus $381 in exclusive bonuses. Limited pre-order period with special pricing and instant digital access.",Complete Your Order,N/A,pre-order curls and contemplation,N/A
Pre-Order Page,Confidence Badges,Trust building,N/A,N/A,"30-Day Money-Back Guarantee • Secure Checkout • Free Shipping Over $50 • Instant Bonus Access • SSL Encrypted • 5000+ Pre-Orders and Counting",N/A,trust-badges-comprehensive/,N/A,/refund-policy
Pre-Order Page,Order Summary,Product details,"Your Order",N/A,"Curls & Contemplation: A Stylist's Interactive Journey Journal by Michael David Warren Jr. | Paperback, 320 pages | ISBN: [TBD] | Publisher: [TBD] | Release Date: [TBD]",N/A,book-cover-order-summary.png,N/A,N/A
Pre-Order Page,Pricing Display,Cost breakdown,N/A,N/A,"Book: $34.99 | Pre-Order Bonuses: $381 value (FREE) | Shipping: $5.99 (FREE over $50) | Total: $34.99 (you save $381)",N/A,N/A,N/A,N/A
Pre-Order Page,Bonus Reminder,Value reinforcement,"Included FREE with Your Pre-Order ($381 Value)",N/A,"Complete Worksheet Library ($97) • 90-Day Freelancer Video Masterclass ($149) • VIP Curl Collective Access (Priceless) • Pricing Calculator Spreadsheet ($49) • Companion Audiobook ($86)",N/A,bonus-stack-checklist-visual.png,N/A,N/A
Pre-Order Page,Form: Personal Info,Data collection,N/A,"Your Information","First Name | Last Name | Email Address (for order confirmation and bonus access) | Phone Number (optional, for shipping updates)",N/A,N/A,N/A,N/A
Pre-Order Page,Form: Shipping,Address collection,N/A,"Shipping Address","Street Address | Apartment/Suite (optional) | City | State/Province | ZIP/Postal Code | Country | Delivery Instructions (optional)",N/A,N/A,N/A,N/A
Pre-Order Page,Gift Option Checkbox,Gift functionality,N/A,N/A,"This is a gift - Ship to different address and include gift message card. We'll omit pricing information.",N/A,gift-box-icon.svg,N/A,N/A
Pre-Order Page,Order Bump: Signed Bookplate,Upsell opportunity,"Make Your Copy Extra Special (+$15)",N/A,"Add a personalized signed bookplate from Michael. He'll hand-sign a decorative bookplate with your name (or gift recipient's name) for you to affix inside your book. Limited availability.",Add to Order,signed-bookplate-sample-photo.jpg,N/A,N/A
Pre-Order Page,Order Bump: Rush Shipping,Upsell option,"Want It Faster? (+$12.99)",N/A,"Upgrade to priority shipping. Receive your book within 3-5 business days of release instead of standard 7-10 days. (International timing varies.)",Add Rush Shipping,N/A,N/A,N/A
Pre-Order Page,Payment Section,Checkout,"Secure Payment",N/A,"We accept all major credit cards, PayPal, Apple Pay, and Google Pay. All transactions encrypted and secure. Your payment will be processed on the release date.",Complete Order,payment-icons-accepted/,N/A,N/A
Pre-Order Page,Order Guarantee,Risk reversal,N/A,N/A,"Your satisfaction is guaranteed. If you're not completely satisfied, return the book within 30 days in resalable condition for a full refund. No questions asked.",N/A,guarantee-badge-seal.svg,N/A,/refund-policy
Pre-Order Page,FAQ Quick Access,Address objections,N/A,"Have Questions?","When will it ship? • What formats are available? • Can I change my order? • International shipping? • Bulk orders?",View All FAQs,N/A,N/A,/book
Checkout Page,Order Summary,Purchase recap,"Your Order Summary",N/A,"Review your items before completing purchase. All fields required unless marked optional. Email confirmation sent immediately after purchase.",N/A,N/A,N/A,N/A
Checkout Page,Subtotal Breakdown,Pricing clarity,N/A,N/A,"Curls & Contemplation (Paperback): $34.99 | Signed Bookplate (if selected): $15.00 | Rush Shipping (if selected): $12.99 | Shipping: $5.99 (FREE if subtotal over $50) | Tax: Calculated based on address",N/A,N/A,N/A,N/A
Checkout Page,Post-Purchase Upsell,One-time offer,"Wait! Special One-Time Offer",N/A,"Before you go, add the Companion Reflection Journal (normally $24.99) for just $19 when you add it now. Extends your Curls & Contemplation experience with 100 pages of guided reflection, goal-tracking, and creative journaling.",Add Journal for $19,companion-journal-cover-mockup.png,N/A,N/A
Checkout Page,Upsell: Journal Benefits,Value explanation,N/A,N/A,"Guided reflection prompts aligned with book chapters • Goal-setting worksheets • Progress tracking pages • Creative doodling space • Milestone celebration pages • Premium paper quality • Lay-flat binding",N/A,N/A,N/A,N/A
Checkout Page,Downsell: Digital Only,Alternative offer,"Or Get Just the Digital Workbook Bundle",N/A,"Not ready for the full journal? Get all 12 worksheets in fillable PDF format for just $14.99. Print multiple copies or complete digitally. Instant download after purchase.",Get Workbook Bundle,workbook-bundle-preview-pages.png,N/A,N/A
Thank You Page,Success Message,Confirmation,"Your Order is Confirmed!",N/A,"Thank you for pre-ordering Curls & Contemplation. Your journey toward career transformation begins now. Check your email for order confirmation (#[ORDER NUMBER]) and next steps.",N/A,confirmation-checkmark-animated.svg,N/A,N/A
Thank You Page,What Happens Next,Set expectations,"What Happens Next",N/A,"1. Check email for order confirmation and bonus access link (arrives within 24 hours) | 2. Access your digital bonuses immediately | 3. Join the Curl Collective community | 4. Receive shipping notification on release date | 5. Your book arrives and transformation begins!",N/A,process-timeline-visual.svg,N/A,N/A
Thank You Page,Bonus Access,Immediate value,"Access Your $381 in Bonuses Now",N/A,"Your bonus vault link was included in your confirmation email. If you don't see it within 24 hours, check spam folder or contact hello@curlsandcontemplation.com.",Access Bonus Vault,bonus-vault-access-button.png,N/A,N/A
Thank You Page,Community Invitation,Engagement,"Join the Curl Collective Now",N/A,"Your VIP early access to the community is waiting. Connect with thousands of stylists on the same journey. Share your excitement, ask questions, and start building your network.",Join Discord,community-welcome-visual.jpg,N/A,/community
Thank You Page,Social Share,Viral opportunity,"Spread the Word",N/A,"Help other stylists discover their permission slip. Share your pre-order with fellow creatives who deserve to design careers on their own terms.",Share on Social,social-share-buttons-purchase/,N/A,N/A
Thank You Page,Share: Pre-Written Copy,Make sharing easy,N/A,N/A,"Suggested share text: Just pre-ordered Curls & Contemplation by @UnconventionalS! If you're a hairstylist who's ever felt limited by traditional career paths, this book is your permission slip. Pre-order bonuses worth $381 still available! [LINK]",Copy Share Text,N/A,N/A,N/A
Thank You Page,Journal Upsell,Final offer,"Complete Your Transformation Kit",N/A,"Add the Companion Reflection Journal to deepen your transformation. Special thank-you price of $19 (normally $24.99) available only on this page. Won't be offered again at this price.",Add Journal Now,journal-thankyou-visual.png,N/A,N/A
Thank You Page,Stay Connected,Ongoing engagement,"Stay Connected Until Your Book Arrives",N/A,"Follow @UnconventionalS on Instagram for behind-the-scenes content, sneak peeks of book pages, and community member spotlights. Tag your pre-order excitement with #CurlsAndContemplation",Follow Now,social-follow-visual.png,N/A,N/A
Privacy Policy,Header,Page identification,"Privacy Policy",N/A,"Effective Date: [DATE] | Last Updated: [DATE] | This Privacy Policy describes how Curls & Contemplation collects, uses, and protects your personal information.",Contact Privacy Team,N/A,privacy policy,N/A
